Godzina;BRUTTO [zł/kWh];DODATKOWE INFORMACJE
1;0.3567;
2;0.3086;
3;0.2399;
4;0.2177;
5;0.2214;
6;0.2177;
7;0.1845;
8;0.1554;
9;0.123;
10;0.5166;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-08-18
11;0.417;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-08-18
12;0.3694;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-08-18
13;0.369;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-08-18
14;0.3555;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-08-18
15;0.4182;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-08-18
16;0.492;Brak danych TGE. Przyjęta została cena z kursu RDN z dnia 2024-08-18
17;0.2935;
18;0.615;
19;1.1586;
20;1.1587;
21;1.5741;
22;1.2927;
23;1.0763;
24;0.861;
