"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","437,82","2 164,70"
"1-2","403,72","2 016,50"
"2-3","380,90","2 087,10"
"3-4","382,08","2 052,00"
"4-5","395,90","1 976,50"
"5-6","423,46","2 442,80"
"6-7","531,50","3 400,60"
"7-8","580,00","3 301,70"
"8-9","550,00","3 579,60"
"9-10","474,00","3 460,70"
"10-11","430,00","3 325,80"
"11-12","420,00","3 530,10"
"12-13","399,88","3 369,60"
"13-14","399,88","3 271,00"
"14-15","411,93","3 432,90"
"15-16","412,03","3 547,00"
"16-17","417,00","3 609,20"
"17-18","540,55","3 777,70"
"18-19","671,74","3 786,80"
"19-20","1000,00","4 444,40"
"20-21","1153,60","4 633,50"
"21-22","832,60","4 186,60"
"22-23","536,00","4 560,60"
"23-24","451,84","3 825,80"
